mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
16187,"Marriage Blue: ""Konyakusha ga Iru no ni, Doushite Konna Otoko ni......""",OVA,6.28,6151,8863,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8525.0,9856.0
16189,Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita,OVA,7.01,13651,6417,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,6236.0,4890.0
16201,Aku no Hana,TV,7.16,249794,1141,Drama|Psychological|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,1140.0,3994.0
16211,Bakumatsu Gijinden Roman,TV,6.12,11696,6845,Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,6636.0,10841.0
16233,Yowai Mushi,Special,6.05,2522,11944,Drama|Music,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,11260.0,11276.0
16245,Seikimatsu Leader Gaiden Takeshi!,Special,5.87,629,17386,Comedy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14641.0,12229.0
16247,Satsujin Kippu wa Heart-iro,OVA,5.45,1717,13214,Action|Adventure|Comedy|Drama|Mystery|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,12251.0,14041.0
16255,Meisou-Ou Border,OVA,5.4,1205,14578,Adventure,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13188.0,14209.0
23609,Gaki Deka (OVA),OVA,5.8,473,19028,Comedy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,15151.0,12606.0
23613,Kakkun Cafe,Movie,5.67,479,18938,Comedy|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,15133.0,13222.0
23615,Eiyuu Banka Koushi-den,Special,6.11,916,15684,Adventure|Drama|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13832.0,10901.0
5998,Hottarake no Shima: Haruka to Mahou no Kagami,Movie,7.31,10171,7250,Adventure|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7018.0,3064.0
23639,Kappa Kawatarou,Movie,5.36,767,16420,Supernatural,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14214.0,14328.0
23665,Renai Fuyou Gakuha The Animation,OVA,6.88,7811,8051,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7763.0,5616.0
9968,Wana: Hakudaku Mamire no Houkago,OVA,6.48,7416,8213,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7919.0,8444.0
9970,Floating Material,OVA,6.62,10093,7265,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7036.0,7415.0
23515,Otsuki-sama to Oujo,Movie,5.18,756,16478,Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14252.0,14698.0
