mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
31909,Wakaba*Girl: Onsen Tsukaritai,Special,6.89,9875,7342,Comedy|Slice of Life,1,6,10.0,48.0,1.5784454082866692e-05,6.567490275166169e-09,2.990946266449856e-10,12385,7103.0,5547.0
1823,Shin Hakkenden,TV,7.17,7522,8180,Action|Adventure|Sci-Fi,6,8,8.0,10.0,1.5778895962837163e-05,6.430000606673708e-10,6.657100648718317e-10,12386,7890.0,3935.0
59968,Sword Art Online Alternative: Gun Gale Online II - Gala,ONA,6.26,3240,11035,Action,2,2,13.0,19.0,1.5778113609999904e-05,3.8464091420003866e-10,4.998652002213767e-10,12387,10454.0,9978.0
2689,Akai Koudan Zillion: Utahime Yakyoku,OVA,5.92,2042,12643,Adventure|Sci-Fi,2,2,3.0,10.0,1.5771830715007944e-05,8.973406297833302e-13,9.958482185076787e-13,12388,11799.0,11974.0
49263,Yaku nara Mug Cup mo: Niban Gama,TV,6.85,20695,5473,Comedy|Slice of Life,3,7,13.0,22.0,1.5769074628831636e-05,1.2691723541349751e-08,7.627805077303161e-09,12389,5357.0,5811.0
4718,AIKa: Special Trial,OVA,5.64,9333,7503,Ecchi,2,4,7.0,76.0,1.5764415545549603e-05,7.930835952212684e-10,1.7742227924088257e-11,12390,7256.0,13380.0
40486,Strike the Blood: Kieta Seisou-hen,OVA,6.91,34005,4439,Action|Fantasy|Supernatural,1,1,6.0,9.0,1.5756113600533355e-05,1.1732313790009856e-13,5.5694177515433314e-12,12391,4365.0,5422.0
884,Shin Angyo Onshi,Movie,6.82,20566,5482,Action|Fantasy,7,7,9.0,9.0,1.5751704671279917e-05,2.37237969495705e-08,2.2952404203429407e-08,12392,5367.0,5985.0
50930,Kumichou Musume to Sewagakari Picture Drama,ONA,5.98,2720,11682,Comedy,2,2,5.0,5.0,1.5749552185853927e-05,2.1297012426859307e-09,2.2398945386563367e-09,12393,11022.0,11648.0
2455,Prayers,OVA,5.41,1783,13076,Sci-Fi,2,2,4.0,4.0,1.5748632160859974e-05,7.423981726635128e-10,1.1756624955112513e-09,12394,12150.0,14180.0
