character_name,character_id_anilist,character_id_mal,character_favorites_mal,character_favorites_anilist,character_favorites,anime_count,anime_ids,voice_actor_names
"Kagami, Kyouko",254623,125733,0,0,0,4,3285|3838|3839|49532,"Senou, Reiko|Oota, Yoshiko|Tominaga, Miina|Igarashi, Rei"
Kagetsu,3347,3347,0,0,0,4,1036|1182|5039|18055,"Hidaka, Noriko|Yamadera, Kouichi|Yamagata, Kaori|Ishida, Akira"
Kakisuke,124063,95441,0,0,0,4,20431|24471|37029|39538,"Gotou, Hiroki"
"Kalle, Flaminia",,228072,0,0,0,4,23259|43204|43205|43206,"Tamagawa, Sakiko"
Kamaitachi,63065,63065,0,0,0,4,1412|2931|53882|57160,"Ootsuka, Chikao|Ueda, Yuuji|Ban, Taito"
"Kaneari, Mister",273452,114863,0,0,0,4,24909|28869|31670|33490,"Tobita, Nobuo"
Kaneda,324906,262648,0,0,0,4,615|1230|2346|28297,"Yoshino, Hiroyuki|Miyashita, Eiji|Yamagishi, Isao|Ogata, Mitsuru"
Kankoshi,248944,,0,0,0,4,29093|40833|48675|52198,"Nagase, Yuzuha|Oohashi, Ayaka|Mori, Yuuko|Nukui, Yuka"
Kanou,42354,42354,0,0,0,4,4999|9242|9243|14669,"Iguchi, Yuka|Hironaka, Masashi|Mori, Katsuji|Takahashi, Minami"
Kaoruko,,245957,0,0,0,4,243|471|861|1720,"Tanaka, Atsuko|Makino, Yoshina|Hikami, Kyouko"
"Katse, Berg",,18896,0,0,0,4,2389|3153|3154|6374,"Mori, Hiroko|Neal, Edwin|Shiozawa, Kaneto|Terashima, Mikio"
Katsura,57609,57609,0,0,0,4,158|1230|19703|28423,"Shitaya, Noriko|Chou, Katsumi|Yamaguchi, Yuriko|Hiyama, Nobuyuki"
"Kawahara, Joutoku",,23121,0,0,0,4,591|886|1749|1750,"Sugiyama, Kazuko"
Kawauso,152410,120545,0,0,0,4,2151|7664|35971|60378,"Hase, Sanji|Shimura, Sadao|Tomioka, Misako"
Kazuo,173634,164096,0,0,0,4,1029|2044|3819|5656,"Gotou, Kouji|Shioya, Yoku|Kondou, Takako|Shibahara, Chiyako"
Kepu,383142,,0,0,0,4,54974|55821|58555|59385,"Liu, Cong"
"Kerry, Annette",11892,11892,0,0,0,4,421|422|423|1584,"Toyoguchi, Megumi"
"Kinniku, Sayuri",,141324,0,0,0,4,3273|3274|3275|3280,"Yamaguchi, Nana"
"Kirishima, Mondo",331374,221255,0,0,0,4,49819|49820|52079|54142,"Nakamura, Yuuichi"
Kisha,398109,,0,0,0,4,2052|10801|12399|61616,"Tahara, Aruno|Sakamaki, Manabu|Hirano, Masato|Shundou, Mitsutoshi"
Kitamoto,,142719,0,0,0,4,8362|8365|33661|61184,"Suzuki, Reiko"
Ko,,158072,0,0,0,4,10893|15359|19703|20723,"Shiraishi, Ryouko"
"Kobayakawa, Hideaki",49557,49557,0,0,0,4,9745|11547|23201|37657,"Fukuyama, Jun|Imai, Asami"
"Kobayashi, Katz",,1384,0,0,0,4,1967|1968|1969|10937,"Namikawa, Daisuke|Asai, Ayaka"
"Kobayashi, Kikka",,31331,0,0,0,4,1939|1967|1969|49827,"Kanai, Mika|Komatsu, Yuka|Arai, Satomi"
Kobun,239299,,0,0,0,4,1909|2809|3065|9884,"Yusa, Kouji|Okubo, Masanobu|Ono, Kenichi|Masuoka, Hiroshi"
Koburu,175721,220748,0,0,0,4,2707|3638|40045|43778,"Mizushima, Yuu|Nagatsuka, Takuma"
"Kochu, Kansho",83627,83627,0,0,0,4,1956|4196|7580|8507,"Miyake, Kenta"
"Kodama, Ichirou",,34316,0,0,0,4,8525|10080|10805|16706,"Nakao, Ryusei"
"Kogashiwa, Kai",,37085,0,0,0,4,187|821|15059|22507,"Canna, Nobutoshi"
Koiking,,222120,0,0,0,4,1119|4026|5526|37865,"Ishizuka, Unshou"
"Kotake, Tetsuya",,14120,0,0,0,4,350|351|352|1376,Hyo-sei
Kotonon,24791,24791,0,0,0,4,2605|3228|4872|6377,"Sawashiro, Miyuki"
Koutarou,320613,140234,0,0,0,4,28623|31783|34544|52367,"Kawakami, Aya|Kaji, Yuuki|Matsuoka, Yoshitsugu"
"Kuronuma, Kitao",,29979,0,0,0,4,6045|9656|56538|58978,"Matsuyama, Takashi"
"Kusai, Skunk",287028,92371,0,0,0,4,522|971|2747|3175,"Furukawa, Toshio|Yao, Kazuki|Kayumi, Iemasa|Yada, Kouji"
Kyonkyon,,182073,0,0,0,4,39049|42994|52006|55237,"Yamashita, Nanami"
Kyoutou-sensei,341075,,0,0,0,4,2183|2707|14293|58265,"Hirano, Masato|Nagai, Makoto|Obana, Kanji|Maeda, Hiroki"
Lao,,124524,0,0,0,4,3016|36370|51805|53132,"Kameyama, Sukekiyo|Hatanaka, Tasuku|Kobatake, Masafumi"
"Le, You",,168435,0,0,0,4,37924|39959|42238|49599,"Morinaga, Chitose"
Legato,303092,181346,0,0,0,4,34649|40109|41714|41814,"Mogami, Tsuguo"
"Li, Touten",,233616,0,0,0,4,129|9088|17137|33726,"Isobe, Tsutomu|Inaba, Minoru"
Luan,,230159,0,0,0,4,40890|43204|43205|43206,"Hasegawa, Yoshiaki"
"Luckfield, Brooklyn",22698,22698,0,0,0,4,1544|1603|4075|9241,"Sugita, Tomokazu"
Ma-kun,179323,172476,0,0,0,4,21877|34839|38422|39570,"Matsuoka, Yoshitsugu|Komatsu, Shouhei"
Maaya,282072,139545,0,0,0,4,7915|39221|39935|51653,"Inoue, Kikuko|Yamada, Marina|Sakura, Ayane"
