voice_actor_name,voice_actor_id_anilist,voice_actor_id_mal,voice_actor_favorites_mal,voice_actor_favorites_anilist,voice_actor_favorites,anime_count,main_role_count,supporting_role_count,anime_ids,anime_titles
"Yoshida, Rinne",,69757,1,0,1,2,1,1,49066|57229,Artiswitch|Artiswitch: Ruru's Episodes of Memories
"Uno, Shouma",,74824,1,0,1,2,1,1,58944|59623,Jochum|Wandance
"Azuma, Shinichi",152473,81751,0,1,1,2,1,1,40337|48651,Aibeya The Animation|Sakusei Byoutou The Animation
"Himeki, Kurumi",300947,82514,0,1,1,2,1,1,54623|55691,Fushigi no Kuni no Succubus|Koumi-jima Shuu 7 de Umeru Mesu-tachi
"Toyama, Takashi",104433,9433,1,0,1,2,1,1,1940|2565,Outlanders|Jungle Taitei: Susume Leo!
"Amano, Hiroyuki",102028,,1,1,1,1,1,0,8550,Dr. Slump Movie 10: Arale no Bikkuriman
"Drummond, Aidan",103176,,0,1,1,1,1,0,20945,Iron Kid
"Kouzuki, Miwa",104642,,1,1,1,1,1,0,2015,Wind: A Breath of Heart
"Fujisaki, Kaori",104901,,1,1,1,1,1,0,1359,Nikutai Teni
"Snegoff, Gregory",104947,,0,1,1,1,1,0,4210,Gokiburi-tachi no Tasogare
KONTA,105611,,1,0,1,1,1,0,2284,Transformers: Car Robots
"Ray, Kelly",105670,,1,0,1,1,1,0,1174,Munto
"Srugo, Dor",106965,,0,1,1,1,1,0,7522,Taichi Senjimon
"Lagan, Matt",108227,,1,0,1,1,1,0,1828,Catblue: Dynamite
"Seong, Wan-Gyeong",109827,,0,1,1,1,1,0,2330,Jibaku-kun
"Kim, Min-Seok",110299,,1,0,1,1,1,0,9376,Yamato Takeru: After War
"Miura, Naoko",111159,,1,0,1,1,1,0,2731,Shishunki Bishoujo Gattai Robo Z-Mind
"Fujioka, Takuya",111235,,1,1,1,1,1,0,15823,Shin Takarajima
"Miura, Masako",112113,,1,0,1,1,1,0,22639,Kerokero Keroppi no Tomodachi wa Mahoutsukai
"Nagamune, Haruka",114793,,1,0,1,1,1,0,15313,Wooser no Sono Higurashi
"Wade, Abbey",115492,,1,0,1,1,1,0,3393,Dark
"Matsushima, Tomoko",115967,,0,1,1,1,1,0,6728,Helen Keller Monogatari: Ai to Hikari no Tenshi
"Hayasaka, Ai",116085,,0,1,1,1,1,0,879,Simoun
"Sano, Ryouko",116255,,0,1,1,1,1,0,7482,"Yume kara, Samenai"
