mal_id,anilist_id,title,type,staff_id_anilist,staff_name,staff_role,staff_role_group,staff_language,staff_favorites_mal,staff_favorites_anilist,staff_favorites,source,staff_group_key
1357,1357.0,Shin Hokuto no Ken,OVA,97847,"Hara, Tetsuo",Original Character Design,original_character_design,Japanese,333,152,333,AniList,staff_id_anilist:97847
1358,1358.0,Hokuto no Ken Movie,Movie,97848,"Okamura, Yoshiyuki",Original Creator,original_creator,Japanese,0,167,167,AniList,staff_id_anilist:97848
1358,1358.0,Hokuto no Ken Movie,Movie,110953,"Ashida, Toyoo",Director,director,Japanese,7,19,19,AniList,staff_id_anilist:110953
1358,1358.0,Hokuto no Ken Movie,Movie,97847,"Hara, Tetsuo",Original Character Design,original_character_design,Japanese,333,152,333,AniList,staff_id_anilist:97847
1359,1359.0,Nikutai Teni,OVA,102412,"Fujimoto, Yoshitaka",Director,director,Japanese,4,3,4,AniList,staff_id_anilist:102412
1360,1360.0,Makai Tenshi Djibril,OVA,106196,"Wing, Front",Original Creator,original_creator,Japanese,35,30,35,AniList,staff_id_anilist:106196
1360,1360.0,Makai Tenshi Djibril,OVA,119799,"Kuuchuu, Yousai",Original Character Design,original_character_design,Japanese,9,6,9,AniList,staff_id_anilist:119799
1361,1361.0,Final Fantasy: The Spirits Within,Movie,101047,"Sakaguchi, Hironobu",Director,director,Japanese,237,30,237,AniList,staff_id_anilist:101047
1362,1362.0,Street Fighter II Movie,Movie,109955,Capcom,Original Creator,original_creator,Japanese,56,131,131,AniList,staff_id_anilist:109955
1362,1362.0,Street Fighter II Movie,Movie,103537,"Sugii, Gisaburou",Director,director,Japanese,35,71,71,AniList,staff_id_anilist:103537
1363,1363.0,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Movie,97804,"Aoyama, Gosho",Original Creator,original_creator,Japanese,0,587,587,AniList,staff_id_anilist:97804
1363,1363.0,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Movie,101164,"Kodama, Kenji",Director,director,Japanese,13,11,13,AniList,staff_id_anilist:101164
1364,1364.0,Meitantei Conan Movie 05: Tengoku e no Countdown,Movie,97804,"Aoyama, Gosho",Original Creator,original_creator,Japanese,0,587,587,AniList,staff_id_anilist:97804
1364,1364.0,Meitantei Conan Movie 05: Tengoku e no Countdown,Movie,101164,"Kodama, Kenji",Director,director,Japanese,13,11,13,AniList,staff_id_anilist:101164
1365,1365.0,Meitantei Conan Movie 06: Baker Street no Bourei,Movie,97804,"Aoyama, Gosho",Original Creator,original_creator,Japanese,0,587,587,AniList,staff_id_anilist:97804
1365,1365.0,Meitantei Conan Movie 06: Baker Street no Bourei,Movie,101164,"Kodama, Kenji",Director,director,Japanese,13,11,13,AniList,staff_id_anilist:101164
1366,1366.0,Meitantei Conan Movie 07: Meikyuu no Crossroad,Movie,97804,"Aoyama, Gosho",Original Creator,original_creator,Japanese,0,587,587,AniList,staff_id_anilist:97804
1366,1366.0,Meitantei Conan Movie 07: Meikyuu no Crossroad,Movie,101164,"Kodama, Kenji",Director,director,Japanese,13,11,13,AniList,staff_id_anilist:101164
