user_level,method,evaluated_users,median_profile_size,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank
Fan,catboost_yetirank,6234,248.0,0.957972409367982,0.957972409367982,0.738259868500615,0.6685362898428346,0.6707092941123841,1.0,3.262592236124479
Fan,gbdt_signal_reranker,6234,248.0,0.9566891241578441,0.9566891241578441,0.7360724265974123,0.6661005883575662,0.668376923219693,1.0,3.284247674045557
Fan,implicit_als_cf,6234,248.0,0.9536413217837665,0.9536413217837665,0.7483149122328963,0.6826725884353411,0.6849158959280081,1.0,3.5266281681103626
Fan,lightgbm_lambdarank,6234,248.0,0.9562078922040423,0.9562078922040423,0.7321684495113105,0.6609789343547764,0.6633314253175596,1.0,3.2670837343599617
Fan,neural_mlp_reranker,6234,248.0,0.958614051973051,0.958614051973051,0.7384832105767867,0.6687534923458889,0.6709880582987716,1.0,3.2112608277189607
Fan,pointwise_logistic_reranker,6234,248.0,0.9538017324350336,0.9538017324350336,0.7195685502854374,0.6450314478947781,0.6473509950860574,2.0,3.433750401026628
Fan,torch_feature_mlp_reranker,6234,248.0,0.9576515880654476,0.9576515880654476,0.735998173284389,0.6655741613393202,0.667857636015454,1.0,3.221527109400064
Fan,torch_two_tower_cf,6234,248.0,0.12351620147577799,0.12351620147577799,0.06057352086614854,0.04290604727322725,0.06489675558298268,46.0,47.4084055181264
Fan,xgboost_pairwise_ranker,6234,248.0,0.957972409367982,0.957972409367982,0.737575542047727,0.6676649336298037,0.6699085629813168,1.0,3.2213666987487968
Veteran,advanced_split_item_knn,1240,675.0,0.32741935483870965,0.32741935483870965,0.18354894380308953,0.14074209840338872,0.15778139561942275,30.5,40.25967741935484
Veteran,advanced_split_latent_svd,1240,675.0,0.8725806451612903,0.8725806451612903,0.6230990789682938,0.5462248347530605,0.5522338332131415,2.0,6.178225806451613
Veteran,advanced_split_level_tuned_hybrid,1240,675.0,0.8870967741935484,0.8870967741935484,0.6200959933311169,0.5377591293115487,0.5429852699553447,2.0,5.958870967741936
