user_level,candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity
Beginner,100,554,0.9476534296028881,0.9476534296028881,0.7683784741003693,0.7108715442199197,0.7135117650032043,1.0,0.286,0.1686,0.3995,0.0929,0.0316,0.0214
Beginner,126,554,0.9476534296028881,0.9476534296028881,0.7673547173132452,0.709349425143649,0.7112908363342285,1.0,0.6465,0.0384,0.1017,0.0657,0.0939,0.0538
Beginner,115,554,0.9476534296028881,0.9476534296028881,0.7672642149846485,0.7091364261490616,0.7110223174095154,1.0,0.5753,0.1523,0.1242,0.0494,0.0904,0.0084
Beginner,1,554,0.9476534296028881,0.9476534296028881,0.7667289295651996,0.7083601616995119,0.7103726863861084,1.0,0.5,0.0,0.15,0.15,0.12,0.08
Beginner,70,554,0.9476534296028881,0.9476534296028881,0.7666097951345485,0.7084216976364991,0.7102818489074707,1.0,0.622,0.1225,0.1107,0.0474,0.0799,0.0175
Beginner,22,554,0.9476534296028881,0.9476534296028881,0.7663567759456645,0.7078299107631238,0.7101574540138245,1.0,0.427,0.0586,0.2451,0.0556,0.2081,0.0057
Beginner,46,554,0.9476534296028881,0.9476534296028881,0.7663202124506121,0.7076480378826949,0.7094766497612,1.0,0.5769,0.0418,0.0554,0.0831,0.1296,0.1131
Beginner,3,554,0.9476534296028881,0.9476534296028881,0.7654317376882924,0.706913839269435,0.7087510228157043,1.0,0.65,0.1,0.1,0.05,0.07,0.03
Beginner,33,554,0.9476534296028881,0.9476534296028881,0.7645636944489836,0.705932455029928,0.7080884575843811,1.0,0.2879,0.1666,0.1061,0.3431,0.0666,0.0297
Beginner,110,554,0.9476534296028881,0.9476534296028881,0.7639092672135249,0.7047290855955116,0.7068036198616028,1.0,0.6019,0.0005,0.0646,0.0804,0.2485,0.0041
Beginner,40,554,0.9458483754512635,0.9458483754512635,0.7834133586878544,0.730998353832289,0.733161211013794,1.0,0.2397,0.383,0.1458,0.1093,0.1,0.0221
Beginner,12,554,0.9458483754512635,0.9458483754512635,0.7801727460454253,0.7267279551575581,0.7286975979804993,1.0,0.3525,0.3302,0.0909,0.0609,0.1534,0.012
Beginner,60,554,0.9458483754512635,0.9458483754512635,0.7744860415022584,0.7186953339480414,0.7206555604934692,1.0,0.4332,0.2136,0.0651,0.0342,0.1551,0.0989
Beginner,37,554,0.9458483754512635,0.9458483754512635,0.7734343057704615,0.7173078776418127,0.7193198204040527,1.0,0.4773,0.057,0.068,0.0325,0.2348,0.1306
Beginner,88,554,0.9458483754512635,0.9458483754512635,0.7725597425111731,0.7166195216736733,0.71864253282547,1.0,0.4568,0.2397,0.1427,0.1161,0.0108,0.0339
Beginner,23,554,0.9458483754512635,0.9458483754512635,0.7690861582223277,0.7117294007636967,0.7138135433197021,1.0,0.5198,0.042,0.1141,0.0429,0.1756,0.1056
Beginner,34,554,0.9458483754512635,0.9458483754512635,0.7655315555139488,0.7073537723808482,0.7094005346298218,1.0,0.5936,0.0397,0.1304,0.0593,0.0809,0.096
Beginner,71,554,0.9458483754512635,0.9458483754512635,0.7652831770817892,0.7076423075520548,0.7097185254096985,1.0,0.6443,0.066,0.1292,0.1296,0.0225,0.0084
Beginner,43,554,0.9458483754512635,0.9458483754512635,0.7648866087581084,0.7065178603987268,0.7083648443222046,1.0,0.6735,0.02,0.0088,0.1433,0.0942,0.0602
Beginner,98,554,0.944043321299639,0.944043321299639,0.7746742253975186,0.7198234927928068,0.7218660712242126,1.0,0.4499,0.2226,0.0494,0.1613,0.0533,0.0636
Beginner,6,554,0.944043321299639,0.944043321299639,0.7700208215575349,0.7132048306687295,0.7153294682502747,1.0,0.4,0.1,0.1,0.1,0.1,0.2
Beginner,29,554,0.944043321299639,0.944043321299639,0.7699139644737942,0.7135494319158578,0.7154734134674072,1.0,0.4671,0.2387,0.0662,0.0043,0.2222,0.0016
Beginner,106,554,0.944043321299639,0.944043321299639,0.7693352628784043,0.7130137111184043,0.714842677116394,1.0,0.6015,0.1587,0.0178,0.1275,0.0843,0.0102
Beginner,14,554,0.944043321299639,0.944043321299639,0.768515591102443,0.7120618901756086,0.7145856022834778,1.0,0.3824,0.0748,0.1618,0.2561,0.1189,0.0061
Beginner,125,554,0.944043321299639,0.944043321299639,0.7674512101371023,0.7097660462281401,0.711947500705719,1.0,0.3326,0.1035,0.1056,0.0921,0.1309,0.2353
Beginner,39,554,0.944043321299639,0.944043321299639,0.7669283456124607,0.7099158162335057,0.7120896577835083,1.0,0.5791,0.0493,0.0534,0.2147,0.0418,0.0617
Beginner,108,554,0.944043321299639,0.944043321299639,0.7655360643748941,0.7085127968701975,0.7107038497924805,1.0,0.5744,0.0457,0.0511,0.2508,0.0718,0.0061
Beginner,19,554,0.9422382671480144,0.9422382671480144,0.778620209135747,0.7261471731237074,0.7282671928405762,1.0,0.2783,0.4117,0.1101,0.0584,0.1299,0.0117
Beginner,73,554,0.9422382671480144,0.9422382671480144,0.7714587135260002,0.7159927667599147,0.7181473970413208,1.0,0.494,0.2002,0.1098,0.0397,0.0616,0.0946
Beginner,117,554,0.9422382671480144,0.9422382671480144,0.7693743310588043,0.7132840134193925,0.7155888676643372,1.0,0.4843,0.0579,0.1479,0.0109,0.1329,0.166
Beginner,122,554,0.9422382671480144,0.9422382671480144,0.7678428925995264,0.7114600101062196,0.7138261795043945,1.0,0.4526,0.0191,0.1936,0.1462,0.0271,0.1614
Beginner,35,554,0.9422382671480144,0.9422382671480144,0.7650350380633276,0.7084891592563073,0.711035430431366,1.0,0.3922,0.0902,0.1785,0.3124,0.0079,0.0188
Beginner,16,554,0.9422382671480144,0.9422382671480144,0.7645755169279523,0.7076919921234001,0.7097752690315247,1.0,0.6279,0.064,0.011,0.2343,0.0445,0.0183
Beginner,69,554,0.9422382671480144,0.9422382671480144,0.7634836579589652,0.7056831856470847,0.7084033489227295,1.0,0.2823,0.0069,0.2696,0.1033,0.2096,0.1284
Beginner,54,554,0.9422382671480144,0.9422382671480144,0.7628987465412914,0.7054968847838884,0.7078057527542114,1.0,0.3735,0.131,0.036,0.3591,0.0637,0.0368
Beginner,111,554,0.9422382671480144,0.9422382671480144,0.7618050631393865,0.703642601882674,0.7058679461479187,1.0,0.2913,0.0291,0.0259,0.1505,0.2543,0.2489
Beginner,89,554,0.9422382671480144,0.9422382671480144,0.7605620294691652,0.701764420897995,0.7041462659835815,1.0,0.2933,0.0477,0.0149,0.2785,0.206,0.1596
Beginner,90,554,0.9404332129963899,0.9404332129963899,0.7778569947736947,0.7253139309547252,0.7273721694946289,1.0,0.4259,0.2767,0.0192,0.1304,0.0582,0.0895
Beginner,17,554,0.9404332129963899,0.9404332129963899,0.7769055551495111,0.724494493673194,0.7266645431518555,1.0,0.3237,0.4012,0.1301,0.0561,0.0687,0.0203
