candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity,hit_at_12_Beginner,hit_at_12_Casual,hit_at_12_Fan,hit_at_12_Veteran,balanced_profile_hit_at_12
116,3000,0.9386666666666666,0.9386666666666666,0.7358613448063774,0.6709006493506493,0.6736344695091248,1.0,0.6263,0.1603,0.0215,0.1336,0.0376,0.0206,0.9404332129963899,0.946236559139785,0.9437919463087249,0.8744588744588745,0.9262301482259435
6,3000,0.9403333333333334,0.9403333333333334,0.7355062310793878,0.6701522847522847,0.672902524471283,1.0,0.4,0.1,0.1,0.1,0.1,0.2,0.944043321299639,0.9521016617790812,0.9429530201342282,0.8658008658008658,0.9262247172534536
16,3000,0.9366666666666666,0.9366666666666666,0.7319512489754431,0.666800493025493,0.6695619821548462,1.0,0.6279,0.064,0.011,0.2343,0.0445,0.0183,0.9422382671480144,0.9442815249266863,0.9387583892617449,0.8787878787878788,0.9260165150310812
108,3000,0.936,0.936,0.730727377222832,0.6655722582972583,0.6684707999229431,1.0,0.5744,0.0457,0.0511,0.2508,0.0718,0.0061,0.944043321299639,0.946236559139785,0.9345637583892618,0.8787878787878788,0.9259078794041412
7,3000,0.9376666666666666,0.9376666666666666,0.7343768218699062,0.6693408970658971,0.6720659732818604,1.0,0.6359,0.1931,0.0251,0.1231,0.0196,0.0031,0.9350180505415162,0.946236559139785,0.9429530201342282,0.8787878787878788,0.9257488771508521
86,3000,0.9396666666666667,0.9396666666666667,0.7307076556536837,0.664192857142857,0.6671066284179688,1.0,0.3633,0.0656,0.1346,0.2092,0.1485,0.0787,0.9512635379061372,0.9472140762463344,0.9429530201342282,0.8614718614718615,0.9257256239396403
58,3000,0.938,0.938,0.7334806877838486,0.6682247715247714,0.6709747910499573,1.0,0.4494,0.3499,0.0982,0.0236,0.0573,0.0216,0.9368231046931408,0.9521016617790812,0.9387583892617449,0.8744588744588745,0.9255355075482103
93,3000,0.9376666666666666,0.9376666666666666,0.7294309203230857,0.6630357503607504,0.6660183072090149,1.0,0.3676,0.102,0.0251,0.2658,0.1742,0.0653,0.9512635379061372,0.9511241446725318,0.9337248322147651,0.8658008658008658,0.925478345148575
8,3000,0.9383333333333334,0.9383333333333334,0.7306939978657906,0.6648380110630111,0.667547345161438,1.0,0.7187,0.0227,0.1034,0.1417,0.0079,0.0056,0.9368231046931408,0.9442815249266863,0.9463087248322147,0.8744588744588745,0.9254680572277291
19,3000,0.9386666666666666,0.9386666666666666,0.7261949309125845,0.6585958633958633,0.6613772511482239,1.0,0.2783,0.4117,0.1101,0.0584,0.1299,0.0117,0.9422382671480144,0.9540566959921799,0.9379194630872483,0.8658008658008658,0.9250038230070772
1,3000,0.9366666666666666,0.9366666666666666,0.7295176021755927,0.6635453703703704,0.6665080189704895,1.0,0.5,0.0,0.15,0.15,0.12,0.08,0.9476534296028881,0.9423264907135875,0.9395973154362416,0.8701298701298701,0.9249267764706468
61,3000,0.9386666666666666,0.9386666666666666,0.7356792368231515,0.6708998075998076,0.6735538244247437,1.0,0.5128,0.242,0.0246,0.1088,0.0088,0.103,0.9350180505415162,0.9491691104594331,0.9446308724832215,0.8701298701298701,0.9247369759035102
49,3000,0.9393333333333334,0.9393333333333334,0.7374443205611051,0.673075529100529,0.6757284998893738,1.0,0.4578,0.1928,0.0116,0.0872,0.0632,0.1875,0.9368231046931408,0.9521016617790812,0.9437919463087249,0.8658008658008658,0.9246293946454531
17,3000,0.9383333333333334,0.9383333333333334,0.7284909543905772,0.6618247474747475,0.6645948886871338,1.0,0.3237,0.4012,0.1301,0.0561,0.0687,0.0203,0.9404332129963899,0.9521016617790812,0.9395973154362416,0.8658008658008658,0.9244832640031446
118,3000,0.937,0.937,0.7228198053682136,0.6546862914862915,0.6577039361000061,1.0,0.3685,0.041,0.0626,0.2452,0.2234,0.0593,0.9548736462093863,0.9452590420332356,0.9362416107382551,0.8614718614718615,0.9244615401131846
20,3000,0.9376666666666666,0.9376666666666666,0.7328262367697405,0.6677052910052911,0.6704468727111816,1.0,0.7727,0.0095,0.0459,0.0734,0.0209,0.0777,0.9368231046931408,0.9472140762463344,0.9429530201342282,0.8701298701298701,0.9242800178008934
44,3000,0.938,0.938,0.735528135039175,0.6709808561808562,0.6737045049667358,1.0,0.6323,0.0418,0.0591,0.0324,0.0697,0.1647,0.9404332129963899,0.946236559139785,0.9437919463087249,0.8658008658008658,0.9240656460614414
